SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download",,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,10938 142nd St,Jamaica,NY,11435,950000,3,3,Jamaica,2000,2915,1930,3,475,,Active,,,https://www.redfin.com/NY/Jamaica/10938-142nd-St-11435/home/20714995,OneKey® MLS as Distributed by MLS Grid,865233,N,Y,40.6872442,-73.8040313
MLS Listing,,Condo/Co-op,138-35 39th Ave Unit 14J,Flushing,NY,11354,858000,1,1,Flushing,792,,2017,3,1083,810,Active,May-25-2025 01:00 PM,May-25-2025 03:00 PM,https://www.redfin.com/NY/Flushing/13835-39th-Ave-11354/unit-14J/home/143235035,OneKey® MLS as Distributed by MLS Grid,865227,N,Y,40.7612026,-73.8277106
MLS Listing,,Single Family Residential,34-08 Murray Ln,Flushing,NY,11354,1350000,4,2.5,Flushing,1658,3601,1964,3,814,,Active,,,https://www.redfin.com/NY/Flushing/3408-Murray-Ln-11354/home/20855844,OneKey® MLS as Distributed by MLS Grid,864112,N,Y,40.7670977,-73.8134405
MLS Listing,,Multi-Family (2-4 Unit),45-18 164 St,Flushing,NY,11358,1390000,5,2,Flushing,2000,3000,1925,3,695,,Active,,,https://www.redfin.com/NY/Flushing/4518-164th-St-11358/home/20848415,OneKey® MLS as Distributed by MLS Grid,865180,N,Y,40.7557574,-73.8029858
MLS Listing,,Condo/Co-op,57-21 246 Cres Unit 1FL,Douglaston,NY,11362,415000,2,1,Douglaston,1000,,1953,3,415,,Active,,,https://www.redfin.com/NY/Little-Neck/57-21-246th-Cres-11362/unit-1/home/113829218,OneKey® MLS as Distributed by MLS Grid,865191,N,Y,40.7582515,-73.7358164
MLS Listing,,Single Family Residential,149-32 18th Ave,Whitestone,NY,11357,1090000,3,2,Whitestone,1720,2600,1930,3,634,,Pre On-Market,,,https://www.redfin.com/NY/Whitestone/14932-18th-Ave-11357/home/20865125,OneKey® MLS as Distributed by MLS Grid,865190,N,Y,40.7826852,-73.8155888
MLS Listing,,Multi-Family (2-4 Unit),154-21 Ash Ave,Flushing,NY,11355,1430000,5,3,Flushing,1779,10355,1930,3,804,,Active,,,https://www.redfin.com/NY/Flushing/15421-Ash-Ave-11355/home/20847123,OneKey® MLS as Distributed by MLS Grid,864628,N,Y,40.7606677,-73.8110968
MLS Listing,,Single Family Residential,4813 216th St,Bayside,NY,11364,1250000,4,2.5,Bayside,1791,4500,1935,3,698,,Active,May-25-2025 10:00 AM,May-25-2025 12:00 PM,https://www.redfin.com/NY/Bayside-Hills/4813-216th-St-11364/home/20812053,OneKey® MLS as Distributed by MLS Grid,865135,N,Y,40.7555477,-73.7640233
MLS Listing,,Mobile/Manufactured Home,81-27 242nd St 242nd St,Bellerose,NY,11426,969000,3,1,Bellerose,4967,4980,1950,3,195,,Active,,,https://www.redfin.com/NY/Bellerose/8127-242nd-St-11426/home/20805610,OneKey® MLS as Distributed by MLS Grid,863388,N,Y,40.7387252,-73.7259266
MLS Listing,,Townhouse,61-34 69 Pl,Middle Village,NY,11379,785000,3,1.5,Middle Village,1620,,1960,3,485,,Active,May-25-2025 03:00 PM,May-25-2025 05:00 PM,https://www.redfin.com/NY/Middle-Village/6134-69th-Pl-11379/home/20900381,OneKey® MLS as Distributed by MLS Grid,865109,N,Y,40.7191884,-73.8891997
MLS Listing,,Multi-Family (2-4 Unit),10919 127th St,South Ozone Park,NY,11420,1175000,6,5,South Ozone Park,1772,1980,1930,4,663,,Active,,,https://www.redfin.com/NY/South-Ozone-Park/10919-127th-St-11420/home/20725400,OneKey® MLS as Distributed by MLS Grid,864629,N,Y,40.6836868,-73.8146325
MLS Listing,,Single Family Residential,63-41 252nd St,Little Neck,NY,11362,2728000,4,4.5,Little Neck,2942,6000,2023,4,927,,Active,,,https://www.redfin.com/NY/Little-Neck/6341-252nd-St-11362/home/20795818,OneKey® MLS as Distributed by MLS Grid,859836,N,Y,40.7551749,-73.7254335
MLS Listing,,Multi-Family (2-4 Unit),34-42 90 St,Jackson Heights,NY,11372,1999000,8,3,Jackson Heights,2046,2700,1930,4,977,,Active,June-14-2025 01:00 PM,June-14-2025 03:00 PM,https://www.redfin.com/NY/Jackson-Heights/3442-90th-St-11372/home/20928935,OneKey® MLS as Distributed by MLS Grid,859960,N,Y,40.7531915,-73.8775658
MLS Listing,,Condo/Co-op,44-55 Kissena Blvd Unit 3B,Flushing,NY,11355,295000,2,1,Flushing,960,,1955,4,307,,Active,,,https://www.redfin.com/NY/Flushing/4455-Kissena-Blvd-11355/unit-3B/home/167566493,OneKey® MLS as Distributed by MLS Grid,859736,N,Y,40.7528774,-73.8211834
MLS Listing,,Single Family Residential,42-51 247TH ST 247th St,Little Neck,NY,11363,1060000,4,2,Little Neck,1440,,1940,4,736,,Active,,,https://www.redfin.com/NY/Little-Neck/4251-247th-St-11363/home/20800883,OneKey® MLS as Distributed by MLS Grid,862509,N,Y,40.7690568,-73.7412493
MLS Listing,,Single Family Residential,10-08 Shore Rd,Douglaston,NY,11363,3999900,4,4.5,Douglaston,4768,12500,1910,4,839,900,Active,May-25-2025 12:00 PM,May-25-2025 02:30 PM,https://www.redfin.com/NY/Little-Neck/1008-Shore-Rd-11363/home/20805143,OneKey® MLS as Distributed by MLS Grid,861328,N,Y,40.7812223,-73.7525204
MLS Listing,,Multi-Family (2-4 Unit),91-05 109th St,Richmond Hill,NY,11418,1380000,0,,Richmond Hill,,,1920,4,,,Active,,,https://www.redfin.com/NY/Richmond-Hill/9105-109th-St-11418/home/20777092,OneKey® MLS as Distributed by MLS Grid,865110,N,Y,40.6931963,-73.8372086
MLS Listing,,Single Family Residential,86-16 130th St,Richmond Hill,NY,11418,830000,3,2,Richmond Hill,1600,2000,1920,4,519,,Active,,,https://www.redfin.com/NY/Richmond-Hill/8616-130th-St-11418/home/20781293,OneKey® MLS as Distributed by MLS Grid,865107,N,Y,40.7030525,-73.8225734
MLS Listing,,Single Family Residential,182-27 Grand Central Pkwy,Jamaica Estates,NY,11432,2950000,3,3.5,Jamaica Estates,1496,22240,1940,4,1972,,Active,,,https://www.redfin.com/NY/Jamaica/18227-Grand-Central-Pkwy-11432/home/20813962,OneKey® MLS as Distributed by MLS Grid,865089,N,Y,40.7207645,-73.7812822
MLS Listing,,Condo/Co-op,245-60 62nd Ave Unit F-5,Little Neck,NY,11362,329000,2,1,Beech Hills,800,,1936,4,411,,Active,,,https://www.redfin.com/NY/Little-Neck/24560-62nd-Ave-11362/unit-F5/home/144465395,OneKey® MLS as Distributed by MLS Grid,865075,N,Y,40.755456,-73.7317023
MLS Listing,,Single Family Residential,119-25 6th Ave,College Point,NY,11356,898000,3,3,College Point,1152,2721,1920,4,780,,Active,,,https://www.redfin.com/NY/College-Point/11925-6th-Ave-11356/home/20875632,OneKey® MLS as Distributed by MLS Grid,865062,N,Y,40.7917164,-73.8496724
MLS Listing,,Condo/Co-op,67-66 108 St Unit A32,Forest Hills,NY,11375,415000,1,1,George Washington,950,,1949,4,437,,Active,,,https://www.redfin.com/NY/Forest-Hills/6766-108th-St-11375/unit-A32/home/112194237,OneKey® MLS as Distributed by MLS Grid,865056,N,Y,40.7272034,-73.8471901
MLS Listing,,Single Family Residential,21814 36th Ave,Bayside,NY,11361,1200000,3,2,Bayside,1252,5000,1960,4,958,,Pre On-Market,,,https://www.redfin.com/NY/Bayside/21814-36th-Ave-11361/home/20832348,OneKey® MLS as Distributed by MLS Grid,859930,N,Y,40.7690935,-73.7655751
MLS Listing,,Condo/Co-op,120-15 Cove Ct Unit 90A,College Point,NY,11356,738000,3,2.5,Riverview Condo,1368,,1984,4,539,416,Pre On-Market,,,https://www.redfin.com/NY/College-Point/120-15-Cove-Ct-11356/unit-90A/home/191618066,OneKey® MLS as Distributed by MLS Grid,864453,N,Y,40.7946694,-73.8474534
MLS Listing,,Multi-Family (2-4 Unit),116-30 223rd St,Cambria Heights,NY,11411,768000,2,2,Cambria Heights,1760,3000,1935,4,436,,Active,,,https://www.redfin.com/NY/Cambria-Heights/11630-223rd-St-11411/home/20729691,OneKey® MLS as Distributed by MLS Grid,864660,N,Y,40.6951665,-73.7373806
MLS Listing,,Condo/Co-op,39-20 52nd St Unit 2G,Woodside,NY,11377,310000,1,1,Woodside,605,,1951,4,512,806,Active,,,https://www.redfin.com/NY/Woodside/39-20-52nd-St-11377/unit-2G/home/185453671,OneKey® MLS as Distributed by MLS Grid,864969,N,Y,40.7481764,-73.9122219
MLS Listing,,Condo/Co-op,134-54 Maple Ave Unit 3V,Flushing,NY,11355,433000,1,1,Flushing,900,,1962,4,481,,Active,,,https://www.redfin.com/NY/Flushing/13454-Maple-Ave-11355/unit-3V/home/20653839,OneKey® MLS as Distributed by MLS Grid,864912,N,Y,40.755088,-73.8286767
MLS Listing,,Single Family Residential,69-14 198th St,Fresh Meadows,NY,11365,999000,3,1.5,Fresh Meadows,1828,1679,1945,4,546,,Active,May-25-2025 12:00 PM,May-25-2025 02:00 PM,https://www.redfin.com/NY/Fresh-Meadows/6914-198th-St-11365/home/20818128,OneKey® MLS as Distributed by MLS Grid,864882,N,Y,40.7371931,-73.775257
MLS Listing,,Single Family Residential,139-14 225th St,Laurelton,NY,11413,979990,4,4,Laurelton,1830,6000,1930,4,536,,Pre On-Market,,,https://www.redfin.com/NY/Laurelton/13914-225th-St-11413/home/20690633,OneKey® MLS as Distributed by MLS Grid,864391,N,Y,40.6706626,-73.749497
MLS Listing,,Condo/Co-op,245-90 62nd Ave Unit E-2 Upper,Douglaston,NY,11362,315000,1,1,Beech Hills,,,1950,4,,,Active,,,https://www.redfin.com/NY/Douglaston/245-90-62nd-Ave-11362/unit-E-2-Upper/home/195858701,OneKey® MLS as Distributed by MLS Grid,864497,N,Y,40.755871,-73.7301942
MLS Listing,,Single Family Residential,172-18 111th Ave,Jamaica,NY,11433,599990,3,1,Jamaica,1530,2000,1930,4,392,,Pre On-Market,,,https://www.redfin.com/NY/Jamaica/17218-111th-Ave-11433/home/20753180,OneKey® MLS as Distributed by MLS Grid,864419,N,Y,40.6950629,-73.7796435
MLS Listing,,Multi-Family (2-4 Unit),108-41 51 Ave,Corona,NY,11368,1388000,6,4,Corona,3000,,1925,4,463,,Active,,,https://www.redfin.com/NY/Corona/10841-51st-Ave-11368/home/20917089,OneKey® MLS as Distributed by MLS Grid,864433,N,Y,40.7445635,-73.853829
MLS Listing,,Condo/Co-op,17-24 201 Street Unit 2-120,Bayside,NY,11357,328888,2,1,Bayside,900,,1950,4,365,,Active,,,https://www.redfin.com/NY/Whitestone/17-24-201st-St-11357/unit-2-120/home/195858452,OneKey® MLS as Distributed by MLS Grid,864935,N,Y,40.7815827,-73.7929886
MLS Listing,,Condo/Co-op,3965 51st St Unit 1C,Woodside,NY,11377,360000,1,1,51st & 52nd St Tenants,680,,1951,4,529,,Active,,,https://www.redfin.com/NY/Woodside/3965-51st-St-11377/unit-1C/home/20660939,OneKey® MLS as Distributed by MLS Grid,864934,N,Y,40.7469168,-73.9130302
MLS Listing,,Condo/Co-op,215-19 48 Ave Unit 2C,Bayside,NY,11364,362000,2,1,Bayside,900,,1950,4,402,,Active,,,https://www.redfin.com/NY/Oakland-Gardens/21519-48th-Ave-11364/unit-2C/home/28683709,OneKey® MLS as Distributed by MLS Grid,864906,N,Y,40.7560597,-73.7654921
MLS Listing,,Single Family Residential,11514 135th Ave,Ozone Park,NY,11420,750000,4,2,Ozone Park,1360,1920,1950,4,551,,Active,,,https://www.redfin.com/NY/South-Ozone-Park/11514-135th-Ave-11420/home/20719196,OneKey® MLS as Distributed by MLS Grid,864890,N,Y,40.6708932,-73.8240706
MLS Listing,,Single Family Residential,17-12 Starr St,Ridgewood,NY,11385,1480000,3,2.5,Ridgewood,1512,2652,1945,4,979,,Pre On-Market,,,https://www.redfin.com/NY/Ridgewood/1712-Starr-St-11385/home/20887300,OneKey® MLS as Distributed by MLS Grid,864748,N,Y,40.7084635,-73.9194428
MLS Listing,,Multi-Family (2-4 Unit),2013 Bleecker St,Ridgewood,NY,11385,1250000,5,2,Ridgewood,,3000,,4,,,Active,May-25-2025 01:00 PM,May-25-2025 02:30 PM,https://www.redfin.com/NY/Ridgewood/2013-Bleecker-St-11385/home/20885384,BNYMLS,492857,N,Y,40.7085479,-73.9080638
MLS Listing,,Single Family Residential,109-15 210 St,Queens Village,NY,11429,699000,3,2.5,Queens Village,1500,3300,1925,4,466,,Pre On-Market,,,https://www.redfin.com/NY/Queens-Village/10915-210th-St-11429/home/20738700,OneKey® MLS as Distributed by MLS Grid,863804,N,Y,40.7092717,-73.7477627
MLS Listing,,Single Family Residential,117-22 142nd St,Jamaica South,NY,11436,869000,6,3,Jamaica South,1184,86074560,1930,4,734,,Active,May-24-2025 01:00 PM,May-24-2025 04:00 PM,https://www.redfin.com/NY/Jamaica/11722-142nd-St-11436/home/20718332,OneKey® MLS as Distributed by MLS Grid,864872,N,Y,40.677888,-73.7997554
MLS Listing,,Single Family Residential,70-27 69th St,Glendale,NY,11385,899000,3,1.5,Glendale,1328,,1925,4,677,,Pre On-Market,May-31-2025 12:30 PM,May-31-2025 02:00 PM,https://www.redfin.com/NY/Glendale/7027-69th-St-11385/home/20880929,OneKey® MLS as Distributed by MLS Grid,864755,N,Y,40.7047231,-73.8836098
MLS Listing,,Single Family Residential,178-15 130th,Jamaica,NY,11434,699000,3,2.5,Jamaica,1710,2000,1955,4,409,,Pre On-Market,,,https://www.redfin.com/NY/Jamaica/17815-130th-Ave-11434/home/20705526,OneKey® MLS as Distributed by MLS Grid,864761,N,Y,40.680198,-73.763996
MLS Listing,,Multi-Family (2-4 Unit),59-61 56th Ave,Maspeth,NY,11378,1099000,0,,Maspeth,,,1910,4,,,Active,,,https://www.redfin.com/NY/Maspeth/5961-56th-Ave-11378/home/20909329,OneKey® MLS as Distributed by MLS Grid,864823,N,Y,40.7253721,-73.9065276
MLS Listing,,Single Family Residential,91-48 89 St,Woodhaven,NY,11421,619999,4,1,Woodhaven,1184,1800,1925,4,524,,Active,,,https://www.redfin.com/NY/Woodhaven/9148-89th-St-11421/home/20784770,OneKey® MLS as Distributed by MLS Grid,864796,N,Y,40.6873774,-73.8535879
MLS Listing,,Multi-Family (2-4 Unit),inwood Street 115-36,Jamaica South,NY,11436,250000,4,,Jamaica South,1808,2000,1930,4,138,,Active,,,https://www.redfin.com/NY/Jamaica/11536-Inwood-St-11436/home/20714618,OneKey® MLS as Distributed by MLS Grid,864792,N,Y,40.6823008,-73.7970123
MLS Listing,,Single Family Residential,171-40 Pidgeon Meadow Rd,Flushing,NY,11365,929000,2,1.5,Flushing,950,,1950,4,978,,Active,,,https://www.redfin.com/NY/Fresh-Meadows/17140-Pidgeon-Meadow-Rd-11365/home/20845744,OneKey® MLS as Distributed by MLS Grid,864742,N,Y,40.7475768,-73.7950216
MLS Listing,,Condo/Co-op,180 Beach 101st St Unit 3C,Far Rockaway,NY,11694,699000,3,2.5,Far Rockaway,1322,,2006,4,529,950,Active,,,https://www.redfin.com/NY/Rockaway-Park/180-Beach-101st-St-11694/unit-3C/home/23181333,OneKey® MLS as Distributed by MLS Grid,864760,N,Y,40.5831168,-73.8212878
MLS Listing,,Condo/Co-op,215-43 48 Ave Unit 3A,Bayside,NY,11364,250000,1,1,Bayside,633,,1950,4,395,,Active,,,https://www.redfin.com/NY/Oakland-Gardens/21543-48th-Ave-11364/unit-3A/home/23337564,OneKey® MLS as Distributed by MLS Grid,861499,N,Y,40.7566532,-73.7650279
MLS Listing,,Single Family Residential,21-22 150th St,Whitestone,NY,11357,949000,3,2,Whitestone,1024,1615,1950,4,927,,Active,,,https://www.redfin.com/NY/Whitestone/2122-150th-St-11357/home/20862347,OneKey® MLS as Distributed by MLS Grid,864721,N,Y,40.7792773,-73.81474
MLS Listing,,Single Family Residential,118-37 180th St,Jamaica,NY,11434,675999,4,2,Jamaica,1020,3067,1945,4,663,,Active,,,https://www.redfin.com/NY/Jamaica/11837-180th-St-11434/home/20707003,OneKey® MLS as Distributed by MLS Grid,862843,N,Y,40.6880692,-73.7642749
MLS Listing,,Condo/Co-op,204-08 35 Ave #247,Bayside,NY,11361,220000,1,1,Baydale,650,,1950,4,338,,Active,,,https://www.redfin.com/NY/Bayside/20408-35th-Ave-11361/unit-247/home/20654175,OneKey® MLS as Distributed by MLS Grid,863548,N,Y,40.76594,-73.782725
MLS Listing,,Condo/Co-op,35-53 77th St Unit 5H,Jackson Heights,NY,11372,469000,1,1,The Jackson House,906,,1937,4,518,,Active,,,https://www.redfin.com/NY/Queens/35-53-77th-St-11372/unit-5H/home/185770626,OneKey® MLS as Distributed by MLS Grid,864705,N,Y,40.7499892,-73.8888145
MLS Listing,,Condo/Co-op,99-72 66th Rd Rd Unit 9G,Rego Park,NY,11374,625000,3,1.5,Rego Park,1400,,1955,4,446,,Active,May-25-2025 02:00 PM,May-25-2025 03:00 PM,https://www.redfin.com/NY/Rego-Park/99-72-66th-Rd-11374/unit-9G/home/195855375,OneKey® MLS as Distributed by MLS Grid,864670,N,Y,40.7283284,-73.8522974
MLS Listing,,Condo/Co-op,7445 Yellowstone Blvd Unit 5C,Rego Park,NY,11374,349000,2,1.5,Rego Park,1100,19407,1955,4,317,,Active,,,https://www.redfin.com/NY/Rego-Park/7445-Yellowstone-Blvd-11374/unit-5C/home/20631381,OneKey® MLS as Distributed by MLS Grid,864411,N,Y,40.715265,-73.858276
MLS Listing,,Condo/Co-op,1714 Palmetto St Unit 3L,Ridgewood,NY,11385,560000,2,1,Ridgewood,727,2800,1920,4,770,,Active,May-25-2025 11:00 AM,May-25-2025 12:30 PM,https://www.redfin.com/NY/Flushing/17-14-Palmetto-St-11385/unit-3L/home/195854863,OneKey® MLS as Distributed by MLS Grid,864235,N,Y,40.7020662,-73.908155
MLS Listing,,Multi-Family (2-4 Unit),210-05 89th Ave,Queens Village,NY,11427,995000,4,2,Queens Village,1880,6707,1955,4,529,,Active,,,https://www.redfin.com/NY/Queens-Village/21005-89th-Ave-11427/home/20749285,OneKey® MLS as Distributed by MLS Grid,864130,N,Y,40.7218308,-73.7553128
MLS Listing,,Condo/Co-op,44-69 Kissena Blvd #4,Flushing,NY,11355,430000,2,1,Flushing,1100,,1955,4,391,,Active,,,https://www.redfin.com/NY/Flushing/44-69-Kissena-Blvd-11355/unit-4/home/195854825,OneKey® MLS as Distributed by MLS Grid,864041,N,Y,40.7528998,-73.8202644
MLS Listing,,Condo/Co-op,142-21 26th Ave Unit 1A,Flushing,NY,11354,250000,1,1,Flushing,800,,1952,4,313,,Pre On-Market,,,https://www.redfin.com/NY/Flushing/14221-26th-Ave-11354/unit-1A/home/173531077,OneKey® MLS as Distributed by MLS Grid,864593,N,Y,40.7748185,-73.8254568
MLS Listing,,Condo/Co-op,99-10 60th Ave Unit 1EE,Corona,NY,11368,299998,1,1,Corona,927,,1961,4,324,,Active,,,https://www.redfin.com/NY/Corona/99-10-60th-Ave-11368/unit-1EE/home/195854522,OneKey® MLS as Distributed by MLS Grid,864575,N,Y,40.7364499,-73.8584826
MLS Listing,,Single Family Residential,2420 Little Neck Blvd,Bayside,NY,11360,5250000,5,4.5,Bsyside Gables,5000,18966,1940,4,1050,83,Active,,,https://www.redfin.com/NY/Bayside/2420-Little-Neck-Blvd-11360/home/20831649,OneKey® MLS as Distributed by MLS Grid,860625,N,Y,40.780644,-73.7721959
MLS Listing,,Multi-Family (2-4 Unit),19623 56th Ave,Fresh Meadows,NY,11365,1680000,6,5,Fresh Meadows,2250,3800,1950,5,747,,Active,May-25-2025 01:00 PM,May-25-2025 03:00 PM,https://www.redfin.com/NY/Fresh-Meadows/19623-56th-Ave-11365/home/20841724,OneKey® MLS as Distributed by MLS Grid,863725,N,Y,40.7463515,-73.7812744
MLS Listing,,Single Family Residential,74 Locustwood Blvd,Elmont,NY,11003,799000,4,1,Elmont,1296,4000,1940,5,617,,Active,,,https://www.redfin.com/NY/Elmont/74-Locustwood-Blvd-11003/home/20471249,OneKey® MLS as Distributed by MLS Grid,863858,N,Y,40.7066234,-73.7222804
MLS Listing,,Multi-Family (2-4 Unit),10214 35th Ave,Corona,NY,11368,1750000,0,,Corona,3322,2118,2002,5,527,,Active,,,https://www.redfin.com/NY/Corona/10214-35th-Ave-11368/home/20665247,OneKey® MLS as Distributed by MLS Grid,864321,N,Y,40.7544648,-73.8655009
MLS Listing,,Townhouse,144-47 77 Ave,Kew Garden Hills,NY,11367,999000,3,2,Kew Garden Hills,1345,1799,1950,5,743,,Active,,,https://www.redfin.com/NY/Flushing/14447-77th-Ave-11367/home/20823342,OneKey® MLS as Distributed by MLS Grid,864442,N,Y,40.7220161,-73.8175463
MLS Listing,,Multi-Family (2-4 Unit),71-34 Kissena Blvd,Flushing,NY,11367,1590000,7,5,Flushing,3139,3108,1975,5,507,,Active,,,https://www.redfin.com/NY/Flushing/7134-Kissena-Blvd-11367/home/20823135,OneKey® MLS as Distributed by MLS Grid,863352,N,Y,40.728668,-73.81565
MLS Listing,,Single Family Residential,11711 168th St,Jamaica,NY,11434,700000,3,1,Jamaica,1152,2400,1930,5,608,,Active,,,https://www.redfin.com/NY/Jamaica/11711-168th-St-11434/home/20707348,OneKey® MLS as Distributed by MLS Grid,864562,N,Y,40.6853993,-73.7782948
MLS Listing,,Multi-Family (2-4 Unit),7403 85th Dr,Queens,NY,11421,999000,5,3,Queens,2750,1913,1955,5,363,,Active,,,https://www.redfin.com/NY/Woodhaven/7403-85th-Dr-11421/home/20789841,BNYMLS,492830,N,Y,40.6935225,-73.8681974
MLS Listing,,Single Family Residential,59-32 163rd St,Fresh Meadows,NY,11365,990000,4,1.5,Fresh Meadows,1350,2500,1935,5,733,,Active,,,https://www.redfin.com/NY/Fresh-Meadows/5932-163rd-St-11365/home/20820441,OneKey® MLS as Distributed by MLS Grid,864541,N,Y,40.7394564,-73.8058496
MLS Listing,,Single Family Residential,1203 Cross Bay Blvd,Broad Channel,NY,11693,479990,2,1,Broad Channel,608,2500,1920,5,789,,Active,,,https://www.redfin.com/NY/Broad-Channel/1203-Cross-Bay-Blvd-11693/home/20678733,OneKey® MLS as Distributed by MLS Grid,864517,N,Y,40.604297,-73.820218
MLS Listing,,Condo/Co-op,138-10 77th Ave Unit 60E,Kew Garden Hills,NY,11367,259900,1,1,Kew Village Estates,750,,1922,5,347,,Pre On-Market,,,https://www.redfin.com/NY/Flushing/13810-77th-Ave-11367/unit-60E/home/20650097,OneKey® MLS as Distributed by MLS Grid,862332,N,Y,40.7208091,-73.8229066
MLS Listing,,Single Family Residential,205-28 116th Rd,Saint Albans,NY,11412,474900,3,2,Saint Albans,1568,2600,1925,5,303,,Active,,,https://www.redfin.com/NY/Saint-Albans/20528-116th-Rd-11412/home/20732187,OneKey® MLS as Distributed by MLS Grid,864499,N,Y,40.6965372,-73.7469812
MLS Listing,,Single Family Residential,30-30 78th St,Queens,NY,11370,1149000,3,3,Queens,1900,1800,1955,5,605,,Active,,,https://www.redfin.com/NY/East-Elmhurst/3030-78th-St-11370/home/20585705,BNYMLS,492827,N,Y,40.7598824,-73.8902163
MLS Listing,,Single Family Residential,91-25 78 St,Woodhaven,NY,11421,799000,3,1.5,Woodhaven,1376,2232,1925,5,581,,Active,,,https://www.redfin.com/NY/Woodhaven/9125-78th-St-11421/home/20784946,OneKey® MLS as Distributed by MLS Grid,863824,N,Y,40.6857792,-73.8622188
MLS Listing,,Condo/Co-op,3730 103rd Unit G-2,Corona,NY,11368,415000,2,1,Corona,620,,1988,5,669,,Active,,,https://www.redfin.com/NY/Corona/3730-103rd-St-11368/unit-G2/home/20924572,OneKey® MLS as Distributed by MLS Grid,864458,N,Y,40.7522652,-73.8641847
MLS Listing,,Condo/Co-op,3444 82nd St Unit 2F,Jackson Heights,NY,11372,499000,1,1,Jackson Heights,991,16000,1937,5,504,650,Active,,,https://www.redfin.com/NY/Jackson-Heights/3444-82nd-St-11372/unit-2F/home/20937871,OneKey® MLS as Distributed by MLS Grid,864446,N,Y,40.7524048,-73.8850603
MLS Listing,,Condo/Co-op,34-43 60 St Unit 4J,Woodside,NY,11377,320000,1,1,Woodside,720,,1963,5,444,,Active,,,https://www.redfin.com/NY/Flushing/3443-60th-St-11377/unit-4J/home/195850246,OneKey® MLS as Distributed by MLS Grid,864450,N,Y,40.750646,-73.901843
MLS Listing,,Single Family Residential,30-33 79th St,East Elmhurst,NY,11370,1089000,3,2.5,East Elmhurst,1332,,1955,5,818,,Active,,,https://www.redfin.com/NY/East-Elmhurst/3033-79th-St-11370/home/20938436,OneKey® MLS as Distributed by MLS Grid,864402,N,Y,40.7599501,-73.8887095
MLS Listing,,Single Family Residential,144-32 Weller Ln,Rosedale,NY,11422,729000,3,1.5,Rosedale,1440,3000,1965,5,506,,Active,,,https://www.redfin.com/NY/Rosedale/14432-Weller-Ln-11422/home/20685322,OneKey® MLS as Distributed by MLS Grid,864437,N,Y,40.6583361,-73.7349888
MLS Listing,,Multi-Family (2-4 Unit),48-36 90 St,Elmhurst,NY,11373,1786000,6,4,Elmhurst,,2202,1930,5,,,Active,,,https://www.redfin.com/NY/Elmhurst/48-36-90th-St-11373/home/192131465,OneKey® MLS as Distributed by MLS Grid,864436,N,Y,40.7401977,-73.8746336
MLS Listing,,Condo/Co-op,87-30 62nd Ave #202,Rego Park,NY,11375,499000,2,2,Austin Towers Condo,,,1989,5,,699,Pre On-Market,,,https://www.redfin.com/NY/Rego-Park/8730-62nd-Ave-11374/unit-202/home/20899099,OneKey® MLS as Distributed by MLS Grid,863461,N,Y,40.728287,-73.867805
MLS Listing,,Single Family Residential,11629 134th St,South Ozone Park,NY,11429,689000,4,2.5,South Ozone Park,1200,2088,1910,5,574,,Active,,,https://www.redfin.com/NY/South-Ozone-Park/11629-134th-St-11420/home/20724379,OneKey® MLS as Distributed by MLS Grid,863973,N,Y,40.6779394,-73.8056628
MLS Listing,,Condo/Co-op,40-18 Hampton St Unit 5-J,Elmhurst,NY,11373,379000,1,1,Elmhurst,900,,1940,5,421,,Active,,,https://www.redfin.com/NY/Elmhurst/40-18-Hampton-St-11373/unit-5-J/home/195850097,OneKey® MLS as Distributed by MLS Grid,864432,N,Y,40.746538,-73.88242
MLS Listing,,Condo/Co-op,99-72 66rd Unit 7AA,Rego Park,NY,11374,379000,2,1,Rego Park,1000,,1952,5,379,,Active,,,https://www.redfin.com/NY/Rego-Park/99-72-66th-Rd-11374/unit-7AA/home/195849674,OneKey® MLS as Distributed by MLS Grid,864415,N,Y,40.7283284,-73.8522974
MLS Listing,,Multi-Family (2-4 Unit),108-32 174 St,Jamaica,NY,11433,1199000,9,5,Jamaica,1710,3000,1920,5,701,,Active,May-25-2025 02:00 PM,May-25-2025 04:00 PM,https://www.redfin.com/NY/Jamaica/10832-174th-St-11433/home/20753575,OneKey® MLS as Distributed by MLS Grid,864403,N,Y,40.6991716,-73.7816057
MLS Listing,,Condo/Co-op,150-72 Village Rd Unit 104A,Jamaica,NY,11432,330000,2,1,Jamaica,820,,1947,5,402,,Active,May-24-2025 02:00 PM,May-24-2025 03:30 PM,https://www.redfin.com/NY/Jamaica/150-72-Village-Rd-11432/unit-104A/home/195842506,OneKey® MLS as Distributed by MLS Grid,863866,N,Y,40.7165683,-73.8091819
